system,comet_score,sid
online-A.0,0.5926834345,300
online-A.0,0.7106654048,993
online-A.0,0.6124677658,981
online-A.0,0.6608647108,136
online-A.0,0.8267740607,466
online-A.0,0.523406148,94
online-A.0,0.6201748848,693
online-A.0,0.4890865088,224
online-A.0,0.6450593472,859
online-A.0,0.6401147246,565
online-A.0,0.7615835071,961
online-A.0,0.4402938187,69
online-A.0,0.828478992,548
online-A.0,0.4109979272,583
online-A.0,0.8350130916,414
online-A.0,0.7465174794,146
online-A.0,0.679456234,541
online-A.0,0.6814321876,828
online-A.0,0.6450123787,745
online-A.0,0.7003540397,737
online-A.0,0.5373934507,332
online-A.0,0.4712333083,422
online-A.0,0.6102022529,708
online-A.0,0.9149528742,353
online-A.0,0.6312698722,472
online-A.0,0.7388865352,680
online-A.0,0.7485743761,388
online-A.0,0.6157702208,206
online-A.0,0.6677040458,547
online-A.0,0.7483155727,851
online-A.0,0.6889343858,770
online-A.0,0.8757786155,96
online-A.0,0.8117890954,423
online-A.0,0.8415434957,836
online-A.0,0.8029721975,102
online-A.0,0.7509084344,37
online-A.0,0.620151937,115
online-A.0,0.7898184657,662
online-A.0,0.5344609618,753
online-A.0,0.7685879469,65
online-A.0,0.7407406569,212
online-A.0,0.8616432548,307
online-A.0,0.5947757959,199
online-A.0,0.755739212,987
online-A.0,0.6648010015,977
online-A.0,0.6036108732,412
online-A.0,0.5840874314,561
online-A.0,0.8068342805,260
online-A.0,0.6624028087,158
online-A.0,0.5059589744,15
online-A.0,0.821659863,914
online-A.0,0.6409643292,86
online-A.0,0.5752089024,462
online-A.0,0.8102725744,540
online-A.0,0.7697698474,599
online-A.0,0.8711289763,261
online-A.0,0.5447877049,101
online-A.0,0.6108970046,87
online-A.0,0.8210504055,91
online-A.0,0.4957222939,684
online-A.0,0.7900643349,24
online-A.0,0.6277163625,607
online-A.0,0.556473732,237
online-A.0,0.4911495447,974
online-A.0,0.7511159778,810
online-A.0,0.6208830476,84
online-A.0,0.7843745351,454
online-A.0,0.4463690519,717
online-A.0,0.663638711,759
online-A.0,0.6518720388,639
online-A.0,0.7419986129,803
online-A.0,0.7716283202,532
online-A.0,0.7653672695,328
online-A.0,0.8553429842,355
online-A.0,0.8946678042,249
online-A.0,0.7002980113,279
online-A.0,0.6611465812,439
online-A.0,0.5658872128,34
online-A.0,0.9162019491,736
online-A.0,0.6430619955,335
online-A.0,0.5655450821,357
online-A.0,0.8150557876,138
online-A.0,0.6546666622,479
online-A.0,0.5816264749,632
online-A.0,0.7747161984,760
online-A.0,0.7361465693,504
online-A.0,0.6207734346,433
online-A.0,0.5766485333,456
online-A.0,0.4976251125,103
online-A.0,0.6994270682,339
online-A.0,0.8523265719,405
online-A.0,0.7796312571,956
online-A.0,0.6730375886,872
online-A.0,0.8095027804,176
online-A.0,0.7347630858,625
online-A.0,0.6639321446,430
online-A.0,0.717761457,275
online-A.0,0.7013435364,119
online-A.0,0.7745863199,266
online-A.0,0.4853032231,953
online-A.0,0.7707888484,597
online-A.0,0.700214684,913
online-A.0,0.5859283209,455
online-A.0,0.6922037601,500
online-A.0,0.5317924619,758
online-A.0,0.6403288245,143
online-A.0,0.7613273859,997
online-A.0,0.8744923472,375
online-A.0,0.5115858912,340
online-A.0,0.5965483189,623
online-A.0,0.8340794444,694
online-A.0,0.7745555043,650
online-A.0,0.6954991221,7
online-A.0,0.6539518237,73
online-A.0,0.8027262092,954
online-A.0,0.7460876107,952
online-A.0,0.7141176462,491
online-A.0,0.7229251266,417
online-A.0,0.6085624695,596
online-A.0,0.7783822417,363
online-A.0,0.4938884974,200
online-A.0,0.9035528302,822
