system,comet_score,sid
Microsoft-WMT19-document-level.6808,0.4035097659,543
Microsoft-WMT19-document-level.6808,0.3536543846,594
Microsoft-WMT19-document-level.6808,0.4009109139,597
Microsoft-WMT19-document-level.6808,0.9166150689,1055
Microsoft-WMT19-document-level.6808,0.8034132719,1056
Microsoft-WMT19-document-level.6808,0.8074486852,1058
Microsoft-WMT19-document-level.6808,0.8132107854,1059
Microsoft-WMT19-document-level.6808,0.7289076447,1060
Microsoft-WMT19-document-level.6808,0.5696396232,745
Microsoft-WMT19-document-level.6808,0.8582096696,747
Microsoft-WMT19-document-level.6808,0.7498911023,754
Microsoft-WMT19-document-level.6808,0.9399064779,1694
Microsoft-WMT19-document-level.6808,0.7759664655,450
Microsoft-WMT19-document-level.6808,0.8841900826,460
Microsoft-WMT19-document-level.6808,0.830511272,616
Microsoft-WMT19-document-level.6808,0.7589682341,621
Microsoft-WMT19-document-level.6808,0.8561963439,627
Microsoft-WMT19-document-level.6808,0.8122435212,1632
Microsoft-WMT19-document-level.6808,0.9021295309,1638
Microsoft-WMT19-document-level.6808,0.8130518794,1647
Microsoft-WMT19-document-level.6808,0.8438730836,1650
Microsoft-WMT19-document-level.6808,0.8866491914,1183
Microsoft-WMT19-document-level.6808,0.692980051,1191
Microsoft-WMT19-document-level.6808,0.4968932867,1205
Microsoft-WMT19-document-level.6808,0.8449445367,1118
Microsoft-WMT19-document-level.6808,0.836864531,1109
Microsoft-WMT19-document-level.6808,0.4081757069,794
Microsoft-WMT19-document-level.6808,0.5605787635,797
Microsoft-WMT19-document-level.6808,0.2486806512,798
Microsoft-WMT19-document-level.6808,0.4961495996,800
Microsoft-WMT19-document-level.6808,0.5692735314,803
Microsoft-WMT19-document-level.6808,0.8908879757,567
Microsoft-WMT19-document-level.6808,0.8215367794,1069
Microsoft-WMT19-document-level.6808,0.8252097964,1082
Microsoft-WMT19-document-level.6808,0.9428855777,1083
Microsoft-WMT19-document-level.6808,0.9839596152,1800
Microsoft-WMT19-document-level.6808,0.9040145278,1804
Microsoft-WMT19-document-level.6808,0.7799726725,684
Microsoft-WMT19-document-level.6808,0.6945298314,1013
Microsoft-WMT19-document-level.6808,0.768424809,62
Microsoft-WMT19-document-level.6808,0.8307452798,66
Microsoft-WMT19-document-level.6808,0.6669006944,1752
Microsoft-WMT19-document-level.6808,0.9181831479,1754
Microsoft-WMT19-document-level.6808,0.8056774139,68
Microsoft-WMT19-document-level.6808,0.6864333749,73
Microsoft-WMT19-document-level.6808,0.3115926385,1
Microsoft-WMT19-document-level.6808,0.7984127402,12
Microsoft-WMT19-document-level.6808,0.7710838914,13
Microsoft-WMT19-document-level.6808,0.6765550375,1177
Microsoft-WMT19-document-level.6808,0.8234881759,1178
Microsoft-WMT19-document-level.6808,0.7435551882,1513
Microsoft-WMT19-document-level.6808,0.7978947759,182
Microsoft-WMT19-document-level.6808,0.7320702672,194
Microsoft-WMT19-document-level.6808,0.7491357327,195
